borough_code,borough_name,ward_code,ward_name,lsoa_code,lsoa_name,prediction_score,officers_assigned
E09000019,Islington,E05013698,Barnsbury,E01002694,Islington 019A,0.39949312806129456,6
E09000019,Islington,E05013698,Barnsbury,E01002696,Islington 020A,1.6934813261032104,29
E09000019,Islington,E05013699,Bunhill,E01002704,Islington 023D,4.26737642288208,38
E09000019,Islington,E05013699,Bunhill,E01033490,Islington 022H,1.4716379642486572,13
E09000019,Islington,E05013699,Bunhill,E01002701,Islington 023A,1.058464765548706,9
E09000019,Islington,E05013699,Bunhill,E01002706,Islington 023E,1.2629337310791016,11
E09000019,Islington,E05013699,Bunhill,E01002703,Islington 023C,1.6396487951278687,14
E09000019,Islington,E05013699,Bunhill,E01033489,Islington 022G,1.4680438041687012,13
E09000019,Islington,E05013706,Holloway,E01033487,Islington 011F,0.6755475997924805,7
E09000019,Islington,E05013706,Holloway,E01002762,Islington 011C,1.8696794509887695,21
E09000019,Islington,E05013706,Holloway,E01002767,Islington 011D,0.7795621752738953,8
E09000019,Islington,E05013706,Holloway,E01002764,Islington 010A,1.7624629735946655,20
E09000019,Islington,E05013706,Holloway,E01002766,Islington 015E,1.7651971578598022,20
E09000019,Islington,E05013706,Holloway,E01002763,Islington 007D,1.811893343925476,20
E09000019,Islington,E05013711,St Peter's & Canalside,E01002707,Islington 022B,1.5344611406326294,21
E09000019,Islington,E05013711,St Peter's & Canalside,E01002702,Islington 023B,2.0151889324188232,28
E09000019,Islington,E05013711,St Peter's & Canalside,E01035656,Islington 020G,1.5519065856933594,21
E09000019,Islington,E05013711,St Peter's & Canalside,E01002802,Islington 020D,0.6150858402252197,8
E09000019,Islington,E05013711,St Peter's & Canalside,E01002801,Islington 020C,0.7096081376075745,9
E09000019,Islington,E05013711,St Peter's & Canalside,E01002800,Islington 018E,0.7200783491134644,10
E09000019,Islington,E05013700,Caledonian,E01002697,Islington 019B,0.8559852838516235,13
E09000019,Islington,E05013700,Caledonian,E01002711,Islington 021B,2.6821892261505127,41
E09000019,Islington,E05013700,Caledonian,E01002715,Islington 019E,0.5646855235099792,8
E09000019,Islington,E05013700,Caledonian,E01002709,Islington 019C,0.6871430277824402,10
E09000019,Islington,E05013700,Caledonian,E01002710,Islington 019D,0.6848990321159363,10
E09000019,Islington,E05013700,Caledonian,E01002708,Islington 015A,0.9954873919487,15
E09000026,Redbridge,E05011251,Seven Kings,E01003772,Redbridge 024D,0.6472336649894714,12
E09000026,Redbridge,E05011251,Seven Kings,E01003768,Redbridge 024C,0.6096660494804382,11
E09000026,Redbridge,E05011251,Seven Kings,E01003771,Redbridge 022C,0.7860345840454102,14
