lsoa_code,prediction_score,officers_assigned
E01003646,0.7540974617004395,16
E01033590,0.2758089303970337,5
E01003664,0.6181126236915588,12
E01003666,1.0879154205322266,21
E01003661,0.870743989944458,17
E01003663,0.4784143269062042,9
E01033592,0.4691072404384613,9
E01003665,0.35366731882095337,6
E01003662,0.9280532002449036,18
E01032581,0.7019036412239075,12
E01003719,1.4724088907241821,26
E01003713,0.6880717277526855,12
E01003718,0.639690637588501,11
E01003715,0.5614489912986755,10
E01003714,0.9392325282096863,16
E01003716,0.5274512767791748,9
E01003746,0.6368604302406311,22
E01003745,0.4533679783344269,15
E01003749,0.375840961933136,13
E01003747,0.4639343321323395,16
E01003748,0.9409700632095337,32
E01003739,0.6361511945724487,13
E01003737,0.7202883362770081,14
E01003743,0.42487388849258423,8
E01003738,0.8444002270698547,17
E01003741,0.9559208750724792,19
E01003740,0.5225772261619568,10
E01003742,0.7739340662956238,15
E01003727,0.39617884159088135,13
E01003724,0.34541767835617065,11
E01003725,0.3843378722667694,13
E01003723,0.5831172466278076,20
E01003722,0.5394740700721741,18
E01003721,0.6363275051116943,22
E01003674,1.4666153192520142,21
E01003672,0.6868849396705627,10
E01003761,0.2585009038448334,3
E01003750,0.9980993866920471,14
E01003671,0.33384960889816284,4
E01003673,0.6530981659889221,9
E01003760,0.6317345499992371,9
E01003669,0.5595696568489075,8
E01003670,0.3696157932281494,5
E01003762,0.8811197280883789,12
E01003693,0.3236823081970215,11
E01003691,0.42891547083854675,15
E01003694,0.5010949969291687,18
E01003696,0.3782353401184082,13
E01003695,0.21390710771083832,7
E01003697,0.5497636795043945,20
E01003692,0.31776195764541626,11
E01003729,0.7217795252799988,16
E01003734,1.0787043571472168,24
E01003732,0.700279712677002,15
E01003736,0.6998774409294128,15
E01003731,0.6545794606208801,14
E01003733,0.6176089644432068,13
E01003644,0.5606473088264465,11
E01003643,0.4444974958896637,8
E01003645,1.761656641960144,34
E01003638,0.9036988019943237,17
E01003641,0.7603214383125305,15
E01003642,0.6106890439987183,12
E01003796,0.4630674719810486,100
E01003765,1.185300350189209,27
E01003759,0.5752561688423157,13
E01003764,0.6915445923805237,16
E01003668,0.997549831867218,23
E01003780,0.3555125594139099,8
E01003775,0.4939848780632019,11
E01003680,1.5923051834106445,29
E01003682,0.3993300497531891,7
E01003679,0.5269365906715393,9
E01003678,0.3647439181804657,6
E01003675,0.6560328602790833,12
E01003677,0.7821850776672363,14
E01003676,0.423194944858551,7
E01003681,0.6570761799812317,12
E01003785,0.47295695543289185,11
E01003781,0.8401777148246765,20
E01003786,0.27771827578544617,6
E01003784,0.5585816502571106,13
E01003788,1.0612088441848755,26
E01003787,0.2589513957500458,6
E01003752,0.6068106293678284,14
E01003774,0.6280208826065063,10
E01003794,0.17048324644565582,2
E01003789,0.6376438140869141,10
E01003779,0.4740079343318939,7
E01003776,0.5580582618713379,9
E01003778,2.402024030685425,39
E01003777,1.217716932296753,20
E01003705,1.0035334825515747,18
E01003710,0.11157946288585663,2
E01003708,0.5819299817085266,10
E01003763,1.0493066310882568,18
E01003712,0.4088215231895447,7
E01003711,0.7800019383430481,14
E01003706,0.46622809767723083,8
E01003709,0.7169001698493958,12
E01003707,0.4400365352630615,7
E01003655,0.7660452127456665,24
E01003654,0.49716702103614807,15
E01003658,0.41840270161628723,13
E01003657,0.8871935606002808,27
E01003659,0.6166447997093201,19
E01033591,1.7199879884719849,38
E01034480,-0.004573180340230465,-1
E01003783,2.4172141551971436,53
E01003782,0.3553706705570221,7
E01003753,0.6639754772186279,21
E01003754,0.5917878150939941,18
E01003756,0.42625007033348083,13
E01003755,0.6995569467544556,22
E01003757,0.7508124113082886,23
E01003689,2.1656370162963867,45
E01003684,0.4241201877593994,8
E01003730,0.17009902000427246,3
E01003683,0.3684094250202179,7
E01003686,0.7494353652000427,15
E01003688,0.46039465069770813,9
E01003685,0.43173161149024963,9
E01003701,1.0084381103515625,46
E01003698,0.2116999477148056,9
E01003700,0.3564995229244232,16
E01003704,0.5890279412269592,27
E01000884,0.7091602087020874,12
E01000878,1.7586902379989624,32
E01000880,1.0949605703353882,19
E01000885,1.0407233238220215,19
E01000879,0.8721064925193787,15
E01035712,0.8191545009613037,12
E01000957,0.8728938102722168,13
E01000941,0.41392090916633606,6
E01000939,1.8826669454574585,29
E01000937,0.6164780259132385,9
E01000938,1.7690459489822388,27
E01000877,0.8106905817985535,12
E01000872,1.8684179782867432,28
E01000873,0.652346670627594,9
E01000876,0.8074837923049927,12
E01000871,1.2191163301467896,18
E01000874,0.698380708694458,10
E01000875,0.6149966716766357,9
E01000898,1.6167179346084595,23
E01000886,0.7473558187484741,11
E01000892,0.9943611025810242,14
E01000887,0.7630671262741089,11
E01000889,0.523871660232544,7
E01000890,0.5118547677993774,7
E01000891,0.8581046462059021,12
E01000888,0.752058207988739,11
E01000932,0.6013616919517517,6
E01000930,2.5856754779815674,28
E01000929,0.9131528735160828,9
E01000934,1.3798210620880127,15
E01000931,2.01670503616333,21
E01000933,1.6828268766403198,18
E01000969,0.9924365282058716,10
E01000968,1.6763862371444702,17
E01000970,1.832991600036621,18
E01000973,2.4421958923339844,25
E01000974,0.6945538520812988,7
E01000972,1.8585138320922852,19
E01000971,0.23340091109275818,2
E01000951,0.3937775790691376,5
E01035710,2.347557306289673,31
E01000947,2.712625741958618,35
E01000944,0.3780803084373474,5
E01000949,0.47247472405433655,6
E01000948,1.2309049367904663,16
E01000943,0.8137761950492859,3
E01000851,3.921189546585083,16
E01035711,4.039724349975586,16
E01000853,0.8098538517951965,3
E01000918,6.328545570373535,26
E01000850,4.407637596130371,18
E01000855,3.350926637649536,13
E01000942,0.6020954847335815,2
E01000842,0.8230038285255432,8
E01000881,1.3472563028335571,14
E01000897,1.2428410053253174,13
E01000843,1.1285569667816162,11
E01000848,0.568028450012207,5
E01000883,2.049684762954712,21
E01000882,0.8413062691688538,8
E01000844,0.6720954775810242,7
E01000849,0.8293057680130005,8
E01000863,4.656369209289551,56
E01000856,1.790716290473938,21
E01000858,1.7862310409545898,21
E01000904,1.4006903171539307,16
E01000906,1.8093950748443604,21
